Date,Manual ID,Title,Language,Master Document ID,Volume,Type,General/Parts,PDF Filename
1999,C-100.000.000.001,CITES ID Manual - Ivory - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,C-100.000.000.001 Ivory_E.pdf
1999,C-100.000.000.001,Manual de identificación de la CITES - Marfil - Partes y Derivados,ES,C-100.000.000.001,4,CITES ID Manual,Parts and Derivatives,C-100.000.000.001 Marfil_S.pdf
1999,C-100.000.000.001,Manuel d'identification de la CITES - Ivoire - Parties et Produits,FR,C-100.000.000.001,4,CITES ID Manual,Parts and Derivatives,C-100.000.000.001 Ivoire_F.pdf
1989,C-111.000.000.001,CITES ID Manual - Cetacea - Teeth - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,C-111.000.000.001 Whale teeth_EN.pdf
1989,C-111.000.000.001,Manual de identificación de la CITES - Cetacea - Dientes - Partes y Derivados,ES,C-111.000.000.001,4,CITES ID Manual,Parts and Derivatives,C-111.000.000.001 Dientes de Ballena_S.pdf
1989,C-111.000.000.002,CITES ID Manual - Cetacea - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,C-111.000.000.002 Baleen Fanons Ballenas_EN.pdf
1989,C-111.000.000.002,Manual de identificación de la CITES - Cetacea - Partes y Derivados,ES,C-111.000.000.002,4,CITES ID Manual,Parts and Derivatives,C-111.000.000.002 Baleen Fanons Ballenas_S.pdf
1981,F-100.000.000.002,CITES ID Manual - Mammalia - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-100.000.000.002 Fur skins_EN.pdf
1981,F-100.000.000.002,Manual de identificación de la CITES - Mammalia - Partes y Derivados,ES,F-100.000.000.002,4,CITES ID Manual,Parts and Derivatives,F-100.000.000.002 Pieles_S.pdf
1985,F-106.000.000.001,CITES ID Manual - Primates - Parts and Derivatives - General notes (skins),EN,,4,CITES ID Manual,Parts and Derivatives,F-106.000.000.001 Primates Fur Skins_EN.pdf
1985,F-106.000.000.001,Manual de identificación de la CITES - Primates - Partes y Derivados - Notas generales (pieles),ES,F-106.000.000.001,4,CITES ID Manual,Parts and Derivatives,F-106.000.000.001 Primates Pieles_S.pdf
1985,F-106.000.000.001,Manuel d'identification de la CITES - Primates - Parties et Produits - Remarques générales (fourrures),FR,F-106.000.000.001,4,CITES ID Manual,Parts and Derivatives,F-106.000.000.001 Primates Fourrures_F.pdf
1985,F-106.000.000.002,CITES ID Manual - Colobus - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-106.000.000.002 Colobus Fur Skins_EN.pdf
1985,F-106.000.000.002,Manual de identificación de la CITES - Colobus - Partes y Derivados,ES,F-106.000.000.002,4,CITES ID Manual,Parts and Derivatives,F-106.000.000.002 Colobus Pieles_S.pdf
1986,F-106.008.002.006,CITES ID Manual - Cercopithecus diana - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-106.008.002.006 Cercopithecus diana_EN.pdf
1985,F-106.008.002.009,CITES ID Manual - Cercopithecus hamlyni - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-106.008.002.009 Cercopithecus hamlyni_EN.pdf
1985,F-106.008.002.009,Manual de identificación de la CITES - Cercopithecus hamlyni - Partes y Derivados,ES,F-106.008.002.009,4,CITES ID Manual,Parts and Derivatives,F-106.008.002.009 Cercopithecus hamlyni_S.pdf
1985,F-106.008.002.011,CITES ID Manual - Cercopithecus mitis albogularis - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-106.008.002.011 Cercopithecus mitis albogularis_EN.pdf
1985,F-106.008.002.011,Manual de identificación de la CITES - Cercopithecus mitis albogularis - Partes y Derivados,ES,F-106.008.002.011,4,CITES ID Manual,Parts and Derivatives,F-106.008.002.011 Cercopithecus mitis albogularis_S.pdf
1985,F-106.008.006.002,CITES ID Manual - Colobus guereza - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-106.008.006.002 Colobus guereza_EN.pdf
1985,F-106.008.006.002,Manual de identificación de la CITES - Colobus guereza - Partes y Derivados,ES,F-106.008.006.002,4,CITES ID Manual,Parts and Derivatives,F-106.008.006.002 Colobus guereza_S.pdf
1985,F-106.008.006.004,CITES ID Manual - Colobus polykomos - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-106.008.006.004 Colobus polykomos_E.pdf
1985,F-106.008.006.004,Manual de identificación de la CITES - Colobus polykomos - Partes y Derivados,ES,F-106.008.006.004,4,CITES ID Manual,Parts and Derivatives,F-106.008.006.004 Colubus polykomos_S.pdf
1983,F-112.000.000.001,CITES ID Manual - Carnivora - Fur skins - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.000.000.001 Carnivora - Fur skins_EN.pdf
1983,F-112.000.000.001,Manual de identificación de la CITES - Carnivora - Pieles - Partes y Derivados,ES,F-112.000.000.001,4,CITES ID Manual,Parts and Derivatives,F-112.000.000.001 Carnivora - Pieles_S.pdf
1983,F-112.000.000.001,Manuel d'identification de la CITES - Carnivora - Parties et Produits,FR,F-112.000.000.001,4,CITES ID Manual,Parts and Derivatives,F-112.000.000.003 Carnivora - Identification_F.pdf
1983,F-112.000.000.003,CITES ID Manual - Carnivora - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.000.000.003 Carnivora - Identification_EN.pdf
1983,F-112.000.000.003,Manual de identificación de la CITES - Carnivora - Partes y Derivados,ES,F-112.000.000.003,4,CITES ID Manual,Parts and Derivatives,F-112.000.000.003 Carnivora - Identificacción_S.pdf
1985,F-112.001.000.001,CITES ID Manual - Canidae - Parts and Derivatives - Fur skins,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.001.000.001 Canidae - Fur skins_EN.pdf
1985,F-112.001.000.001,Manual de identificación de la CITES - Canidae - Partes y Derivados - Pieles,ES,F-112.001.000.001,4,CITES ID Manual,Parts and Derivatives,F-112.001.000.001 Canidae - Pieles_S.pdf
1985,F-112.001.000.001,Manuel d'identification de la CITES - Canidae - Parties et Produits - Fourrures,FR,F-112.001.000.001,4,CITES ID Manual,Parts and Derivatives,F-112.001.000.001 Canidae - Fourrures_F.pdf
1985,F-112.001.000.003,CITES ID Manual - Canidae - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.001.000.003 Canidae - Identification_EN.pdf
1985,F-112.001.000.003,Manual de identificación de la CITES - Canidae - Partes y Derivados,ES,F-112.001.000.003,4,CITES ID Manual,Parts and Derivatives,F-112.001.000.003 Canidae - Identificación_S.pdf
1985,F-112.001.003.002,CITES ID Manual - Canis aureus - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.001.003.002 Canis aureus_E.pdf
1985,F-112.001.003.002,Manual de identificación de la CITES - Canis aureus - Partes y Derivados,ES,F-112.001.003.002,4,CITES ID Manual,Parts and Derivatives,F-112.001.003.002 Canis aureus_S.pdf
1985,F-112.001.003.003,CITES ID Manual - Canis lupus familiaris - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.001.003.003 Canis lupus f. familiaris_EN.pdf
1985,F-112.001.003.003,Manual de identificación de la CITES - Canis lupus familiaris - Partes y Derivados,ES,F-112.001.003.003,4,CITES ID Manual,Parts and Derivatives,F-112.001.003.003 Canis lupus f. familiaris_S.pdf
1985,F-112.001.003.005,CITES ID Manual - Canis lupus - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.001.003.005 Canis lupus_EN.pdf
1985,F-112.001.003.005,Manual de identificación de la CITES - Canis lupus - Partes y Derivados,ES,F-112.001.003.005,4,CITES ID Manual,Parts and Derivatives,F-112.001.003.005 Canis lupus_S.pdf
1985,F-112.001.004.001,CITES ID Manual - Cerdocyon thous - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.001.004.001 Dusicyon thuos_EN.pdf
1985,F-112.001.007.001,CITES ID Manual - Lycalopex culpaeus - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.001.007.001 Dusicyon culpaeus_EN.pdf
1985,F-112.001.007.001,Manual de identificación de la CITES - Lycalopex culpaeus - Partes y Derivados,ES,F-112.001.007.001,4,CITES ID Manual,Parts and Derivatives,F-112.001.007.001 Dusicyon culpaeus_S.pdf
1985,F-112.001.007.002a,CITES ID Manual - Lycalopex griseus - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.001.007.002a Dusicyon griseus griseus_EN.pdf
1985,F-112.001.007.002a,Manual de identificación de la CITES - Lycalopex griseus - Partes y Derivados,ES,F-112.001.007.002a,4,CITES ID Manual,Parts and Derivatives,F-112.001.007.002b Dusicyon griseus graciles_S.pdf
1985,F-112.001.007.003a,CITES ID Manual - Lycalopex gymnocercus - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.001.007.003a Dusicyon gymnocercus gymnocercus_EN.pdf
1985,F-112.001.007.003a,Manual de identificación de la CITES - Lycalopex gymnocercus - Partes y Derivados,ES,F-112.001.007.003a,4,CITES ID Manual,Parts and Derivatives,F-112.001.007.003a Dusicyon gymnocercus gymnocercus_S.pdf
1985,F-112.001.007.003b,CITES ID Manual - Lycalopex gymnocercus antiquus - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.001.007.003b Dusicyon gymnocercus antiquus_EN.pdf
1985,F-112.001.007.003b,Manual de identificación de la CITES - Lycalopex gymnocercus antiquus - Partes y Derivados,ES,F-112.001.007.003b,4,CITES ID Manual,Parts and Derivatives,F-112.001.007.003b Dusicyon gymnocercus antiquus_S.pdf
1985,F-112.001.015.002,CITES ID Manual - Vulpes cana - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.001.015.002 Vulpes cana_EN.pdf
1985,F-112.001.015.002,Manual de identificación de la CITES - Vulpes cana - Partes y Derivados,ES,F-112.001.015.002,4,CITES ID Manual,Parts and Derivatives,F-112.001.015.002 Vulpes cana_S.pdf
1985,F-112.001.015.010,CITES ID Manual - Vulpes vulpes - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.001.015.010 Vulpes vulpes_E.pdf
1985,F-112.001.015.010,Manual de identificación de la CITES - Vulpes vulpes - Partes y Derivados,ES,F-112.001.015.010,4,CITES ID Manual,Parts and Derivatives,F-112.001.015.010 Vulpes vulpes_S.pdf
1985,F-112.004.000.002,CITES ID Manual - Lutrinae - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.000.002 Lutrinae - Fur skins_E.pdf
1985,F-112.004.000.002,Manuel d'identification de la CITES - Lutrinae - Parties et Produits,FR,F-112.004.000.002,4,CITES ID Manual,Parts and Derivatives,F-112.004.000.002 Lutrinae - Fourrures_F.pdf
1985,F-112.004.000.002,Manual de identificación de la CITES - Lutrinae - Partes y Derivados,ES,F-112.004.000.002,4,CITES ID Manual,Parts and Derivatives,F-112.004.000.002 Lutrinae - Pieles_S.pdf
1985,F-112.004.021.001,CITES ID Manual - Aonyx capensis - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.021.001 Aonyx capensis_EN.pdf
1985,F-112.004.021.001,Manual de identificación de la CITES - Aonyx capensis - Partes y Derivados,ES,F-112.004.021.001,4,CITES ID Manual,Parts and Derivatives,F-112.004.021.001 Aonyx capensis_S.pdf
1985,F-112.004.022.001,CITES ID Manual - Enhydra lutris - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.022.001 Enhydra lutris_EN.pdf
1985,F-112.004.022.001,Manual de identificación de la CITES - Enhydra lutris - Partes y Derivados,ES,F-112.004.022.001,4,CITES ID Manual,Parts and Derivatives,F-112.004.022.001 Enhydra lutris_S.pdf
1985,F-112.004.023.001,CITES ID Manual - Lontra canadensis - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.001 Lutra canadensis_EN.pdf
1985,F-112.004.023.001,Manual de identificación de la CITES - Lontra canadensis - Partes y Derivados,ES,,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.001 Lutra canadensis_S.pdf
1985,F-112.004.023.002,CITES ID Manual - Lontra felina - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.002 Lutra felina_EN.pdf
1985,F-112.004.023.002,Manual de identificación de la CITES - Lontra felina - Partes y Derivados,ES,F-112.004.023.002,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.002 Lutra felina_S.pdf
1985,F-112.004.023.003,CITES ID Manual - Lontra longicaudis - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.003 Lutra longicaudis_EN.pdf
1985,F-112.004.023.003,Manual de identificación de la CITES - Lontra longicaudis - Partes y Derivados,ES,F-112.004.023.003,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.003 Lutra longicaudis_S.pdf
1986,F-112.004.023.004,CITES ID Manual - Lutra lutra - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.003 Lutra lutra_EN.pdf
1985,F-112.004.023.005,CITES ID Manual - Hydrictis maculicollis - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.005 Lutra maculicollis_EN.pdf
1985,F-112.004.023.005,Manual de identificación de la CITES - Hydrictis maculicollis - Partes y Derivados,ES,F-112.004.023.005,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.005 Lutra maculicollis_S.pdf
1986,F-112.004.023.006,CITES ID Manual - Lutrogale perspicillata - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.006 Lutra perspicillata_EN.pdf
1986,F-112.004.023.006,Manual de identificación de la CITES - Lutrogale perspicillata - Partes y Derivados,ES,F-112.004.023.006,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.006 Lutra perspicillata_S.pdf
1986,F-112.004.023.007,CITES ID Manual - Lontra provocax - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.007 Lutra provocax_EN.pdf
1986,F-112.004.023.007,Manual de identificación de la CITES - Lontra provocax - Partes y Derivados,ES,F-112.004.023.007,4,CITES ID Manual,Parts and Derivatives,F-112.004.023.007 Lutra provocax_S.pdf
1984,F-112.004.025.000,CITES ID Manual - Pteronura brasiliensis - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.004.025.001 Pteronura brasiliensis_EN.pdf
1985,F-112.004.025.001,Manual de identificación de la CITES - Pteronura brasiliensis - Partes y Derivados,ES,F-112.004.025.001,4,CITES ID Manual,Parts and Derivatives,F-112.004.025.001 Pteronura brasiliensis_S.pdf
1985,F-112.005.000.001,CITES ID Manual - Viverridae - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.005.000.001 Viverridae - Fur skins_EN.pdf
1985,F-112.005.000.001,Manual de identificación de la CITES - Viverridae - Partes y Derivados,ES,F-112.005.000.001,4,CITES ID Manual,Parts and Derivatives,F-112.005.000.001 Viverridae - Pieles_S.pdf
1985,F-112.005.000.001,Manuel d'identification de la CITES - Viverridae - Parties et Produits,FR,F-112.005.000.001,4,CITES ID Manual,Parts and Derivatives,F-112.005.000.001 Viverridae - Fourrures_F.pdf
1985,F-112.005.001.000,CITES ID Manual - Genetta - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.005.001.000 Genetta_EN.pdf
1985,F-112.005.004.002,CITES ID Manual - Prionodon pardicolor - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.005.004.002 Prionodon pardicolor_E.pdf
1985,F-112.005.004.002,Manual de identificación de la CITES - Prionodon pardicolor - Partes y Derivados,ES,F-112.005.004.002,4,CITES ID Manual,Parts and Derivatives,F-112.005.004.002 Prionodon pardicolor_S.pdf
1985,F-112.005.005.001,CITES ID Manual - Civettictis civetta - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.005.005.001 Civettictis civetta_E.pdf
1985,F-112.005.005.001,Manual de identificación de la CITES - Civettictis civetta - Partes y Derivados,ES,F-112.005.005.001,4,CITES ID Manual,Parts and Derivatives,F-112.005.005.001 Civettictis civetta_S.pdf
1985,F-112.005.005.004,CITES ID Manual - Viverra zibetha - Parts and Derivatives,EN,,4,CITES ID Manual,Parts and Derivatives,F-112.005.005.004 Viverra zibetha_E.pdf
