start_date,end_date,taxon_name,taxon_concept_id,rank,iso_code2,notes,Internal Notes 
04/11/1980,06/06/1981,Balaenoptera physalus,9445,SPECIES,JP,"Stocks in (A) N. Atlantic off Iceland and (B) off Newfoundland; (C) stock in area from 40°S to the Antarctic continent, from 120°W to 60°W. ",
06/06/1981,,Balaenoptera physalus,9445,SPECIES,JP, ,
06/06/1981,,Balaenoptera physalus,9445,SPECIES,NO,"Stocks in (A) N. Atlantic off Iceland and (B) off Newfoundland; (C) stock in area from 40°S to the Antarctic continent, from 120°W to 60°W. ",
04/02/1977,26/04/1995,Balaenoptera physalus,9445,SPECIES,RU,Original reservation as USSR. ,
04/02/1977,17/02/1981,Balaenoptera physalus,9445,SPECIES,ZA, ,
26/11/2019,02/12/2020,Geochelone elegans,9554,SPECIES,TH,,
26/11/2019,02/12/2020,Geochelone elegans,9554,SPECIES,CA,,
02/01/2017,,Psittacus erithacus,9644,SPECIES,AE, ,
02/01/2017,,Psittacus erithacus,9644,SPECIES,CD, ,
02/01/2017,,Psittacus erithacus,9644,SPECIES,SA, ,
31/10/1976,03/07/1978,Astrochelys yniphora,9752,SPECIES,GB,On behalf of HK. ,
28/06/1979,29/10/1982,Neophocaena phocaenoides,9803,SPECIES,CA, ,
31/10/1976,07/03/1978,Crocodylus rhombifer,9850,SPECIES,GB,On behalf of HK. ,
10/06/1996,,Aquila adalberti,9871,SPECIES,SA, ,
10/06/1996,,Pithecophaga jefferyi,9919,SPECIES,SA, ,
31/10/1976,03/07/1978,Geoclemys hamiltonii,9941,SPECIES,GB,On behalf of HK. ,
29/07/1983,06/01/1989,Pelecanus crispus,9986,SPECIES,AT, ,
10/06/1996,,Gymnogyps californianus,10054,SPECIES,SA, ,
31/10/1976,07/03/1978,Crocodylus palustris,10096,SPECIES,GB,On behalf of HK. ,
10/06/1996,12/01/2005,Haliaeetus leucocephalus,10241,SPECIES,SA, ,End date given as date of downlisting to App II
12/06/2013,20/05/2015,Chitra vandijki,10248,SPECIES,CA, ,
31/10/1976,03/07/1978,Batagur baska,10403,SPECIES,GB,On behalf of HK. ,
10/06/1996,,Falco pelegrinoides,10464,SPECIES,SA, ,
12/02/1978,26/10/1990,Crocodylus niloticus,10745,SPECIES,BW, ,
23/06/2010,09/10/2013,Crocodylus niloticus,10745,SPECIES,CA, ,
09/08/1978,10/12/1984,Crocodylus niloticus,10745,SPECIES,FR, ,
31/10/1976,03/07/1978,Crocodylus niloticus,10745,SPECIES,GB,On behalf of HK. ,
31/12/1979,01/01/1984,Crocodylus niloticus,10745,SPECIES,IT, ,
24/01/1983,26/04/1990,Crocodylus niloticus,10745,SPECIES,SD, ,
22/02/1981,26/08/1987,Crocodylus niloticus,10745,SPECIES,ZM, ,
17/08/1981,02/04/1987,Crocodylus niloticus,10745,SPECIES,ZW, ,
02/04/2000,,Physeter macrocephalus,10761,SPECIES,IS, ,
06/06/1981,,Physeter macrocephalus,10761,SPECIES,JP, ,
06/06/1981,,Physeter macrocephalus,10761,SPECIES,NO, ,
15/07/2004,,Physeter macrocephalus,10761,SPECIES,PW, ,
10/06/1996,,Haliaeetus albicilla,10804,SPECIES,SA, ,
09/07/1975,11/08/1978,Balaenoptera musculus,10905,SPECIES,CA, ,
02/04/2000,,Balaenoptera musculus,10905,SPECIES,IS, ,
04/02/1977,20/07/1999,Lutra lutra,10941,SPECIES,RU,Original reservation as USSR. ,
09/08/1978,10/12/1984,Melanosuchus niger,10978,SPECIES,FR, ,
31/10/1976,03/07/1978,Melanosuchus niger,10978,SPECIES,GB,On behalf of HK. ,
12/01/2005,,Orcaella heinsohni,11005,SPECIES,JP, ,
13/02/2003,12/06/2014,Amazona oratrix,11033,SPECIES,CH, ,
13/02/2003,12/06/2014,Amazona oratrix,11033,SPECIES,LI, ,
13/02/2003,,Amazona oratrix,11033,SPECIES,PH, ,
19/07/1990,,Chelonia mydas,11071,SPECIES,CU, ,
09/08/1978,10/12/1984,Chelonia mydas,11071,SPECIES,FR, ,
31/12/1979,01/01/1984,Chelonia mydas,11071,SPECIES,IT, ,
04/11/1980,22/10/1987,Chelonia mydas,11071,SPECIES,JP, ,
15/07/2004,,Chelonia mydas,11071,SPECIES,PW, ,
15/02/1981,,Chelonia mydas,11071,SPECIES,SR,Reservation not applicable to population of AU. ,
01/08/1985,06/01/1989,Ara ambiguus,11207,SPECIES,AT, ,
31/10/1976,03/07/1978,Crocodylus intermedius,11271,SPECIES,GB,On behalf of HK. ,
09/08/1978,10/12/1984,Eretmochelys imbricata bissa,12165,SUBSPECIES,FR, ,
04/11/1980,,Eretmochelys imbricata bissa,12165,SUBSPECIES,JP, ,"No withdrawal date, but suspension not current according to CITES list of current suspensions"
28/06/1979,12/06/2014,Canis lupus irremotus,12168,SUBSPECIES,CH, ,
02/10/2000,,Canis lupus irremotus,12168,SUBSPECIES,MK, ,
09/07/1975,04/02/1977,Ursus americanus emmonsii,12176,SUBSPECIES,CA, ,
31/10/1976,07/03/1978,Python molurus molurus,12180,SUBSPECIES,GB,On behalf of HK. ,
10/06/1996,,Falco newtoni aldabranus,12193,SUBSPECIES,SA, ,
28/06/1979,12/06/2014,Canis lupus monstrabilis,12199,SUBSPECIES,CH, ,
02/10/2000,,Canis lupus monstrabilis,12199,SUBSPECIES,MK, ,
10/06/1996,,Chondrohierax uncinatus wilsonii,12205,SUBSPECIES,SA, ,
28/06/1979,12/06/2014,Ursus arctos isabellinus,12206,SUBSPECIES,CH, ,
10/06/1996,,Haliaeetus albicilla groenlandicus,12220,SUBSPECIES,SA, ,
10/06/1996,,Falco pelegrinoides babylonicus,12238,SUBSPECIES,SA, ,
09/08/1978,10/12/1984,Eretmochelys imbricata imbricata,12248,SUBSPECIES,FR, ,
31/10/1976,03/07/1978,Eretmochelys imbricata imbricata,12248,SUBSPECIES,GB,On behalf of HK. ,
04/11/1980,,Eretmochelys imbricata imbricata,12248,SUBSPECIES,JP, ,"No withdrawal date, but suspension not current according to CITES list of current suspensions"
15/07/2004,,Falco peregrinus peregrinus,12249,SUBSPECIES,PW, ,
10/06/1996,,Falco peregrinus peregrinus,12249,SUBSPECIES,SA, ,
31/10/1976,03/07/1978,Caiman crocodilus apaporiensis,12251,SUBSPECIES,GB,On behalf of HK. ,
15/07/2004,,Falco peregrinus tundrius,12254,SUBSPECIES,PW, ,
10/06/1996,,Falco peregrinus tundrius,12254,SUBSPECIES,SA, ,
28/06/1979,12/06/2014,Caloenas nicobarica pelewensis,12278,SUBSPECIES,CH, ,
15/07/2004,,Caloenas nicobarica pelewensis,12278,SUBSPECIES,PW, ,
31/10/1976,03/07/1978,Apalone spinifera atra,12286,SUBSPECIES,GB,On behalf of HK. ,
31/10/1976,07/03/1978,Epicrates inornatus inornatus,12290,SUBSPECIES,GB,On behalf of HK. ,
28/06/1979,12/06/2014,Canis lupus crassodon,12299,SUBSPECIES,CH, ,
02/10/2000,,Canis lupus crassodon,12299,SUBSPECIES,MK, ,
09/07/1975,29/10/1982,Branta canadensis leucopareia,12303,SUBSPECIES,CA, ,
09/07/1975,29/10/1982,Sander vitreus glaucus,12309,SUBSPECIES,CA, ,
28/06/1979,12/06/2014,Canis lupus pallipes,12320,SUBSPECIES,CH, ,
02/10/2000,,Canis lupus pallipes,12320,SUBSPECIES,MK, ,
31/10/1976,03/07/1978,Lissemys punctata punctata,12324,SUBSPECIES,GB,On behalf of HK. ,
09/07/1975,15/04/1977,Puma concolor couguar,12325,SUBSPECIES,CA, ,
15/07/2004,,Falco peregrinus anatum,12332,SUBSPECIES,PW, ,
10/06/1996,,Falco peregrinus anatum,12332,SUBSPECIES,SA, ,
11/06/1992,12/06/2014,Discocactus,12629,GENUS,CH,Reservation not applicable to D. horstii. ,
11/06/1992,12/06/2014,Discocactus,12629,GENUS,LI,Reservation not applicable to D. horstii. ,
06/06/1981,01/01/1983,Pelecyphora,12843,GENUS,CH, ,
06/06/1981,01/01/1983,Pelecyphora,12843,GENUS,LI, ,
01/08/1985,06/01/1989,Ceratozamia,13147,GENUS,AT, ,
29/07/1983,06/01/1989,Escobaria sneedii,14439,SPECIES,AT, ,
11/06/1992,12/06/2014,Melocactus conoideus,14450,SPECIES,CH, ,
11/06/1992,12/06/2014,Melocactus conoideus,14450,SPECIES,LI, ,
29/07/1983,06/01/1989,Pediocactus paradinei,15492,SPECIES,AT, ,
29/07/1983,06/01/1989,Turbinicarpus pseudomacrochele,17168,SPECIES,AT, ,
11/06/1992,12/06/2014,Melocactus glaucescens,17592,SPECIES,CH, ,
11/06/1992,12/06/2014,Melocactus glaucescens,17592,SPECIES,LI, ,
29/07/1983,06/01/1989,Sclerocactus mariposensis,17824,SPECIES,AT, ,
29/07/1983,06/01/1989,Echinocereus schmollii,18004,SPECIES,AT, ,
29/07/1983,06/01/1989,Sclerocactus wrightiae,18383,SPECIES,AT, ,
29/07/1983,06/01/1989,Turbinicarpus lophophoroides,18695,SPECIES,AT, ,
29/07/1983,06/01/1989,Pachypodium namaquanum,18866,SPECIES,CH, ,
29/07/1983,06/01/1989,Pachypodium namaquanum,18866,SPECIES,LI, ,
29/07/1983,06/01/1989,Coryphantha werdermannii,19242,SPECIES,AT, ,
28/06/1979,12/01/2005,Vanda coerulea,19324,SPECIES,CH, ,End date given as date of downlisting to App II
29/07/1983,06/01/1989,Nolina interrata,19336,SPECIES,AT, ,
29/07/1983,06/01/1989,Dudleya traskiae,19420,SPECIES,AT, ,
29/07/1983,06/01/1989,Turbinicarpus laui,19620,SPECIES,AT, ,
29/07/1983,06/01/1989,Pediocactus sileri,20139,SPECIES,AT, ,
29/07/1983,06/01/1989,Pediocactus peeblesianus,20271,SPECIES,AT, ,
29/07/1983,06/01/1989,Sclerocactus glaucus,20415,SPECIES,AT, ,
29/07/1983,06/01/1989,Turbinicarpus pseudopectinatus,20657,SPECIES,AT, ,
29/07/1983,06/01/1989,Pachycereus militaris,20749,SPECIES,AT, ,
29/07/1983,06/01/1989,Fouquieria fasciculata,21123,SPECIES,AT, ,
29/07/1983,06/01/1989,Dudleya stolonifera,21610,SPECIES,AT, ,
11/06/1992,12/06/2014,Melocactus paucispinus,22677,SPECIES,CH, ,
11/06/1992,12/06/2014,Melocactus paucispinus,22677,SPECIES,LI, ,
06/06/1981,01/01/1983,Sarracenia oreophila,22715,SPECIES,CH, ,
06/06/1981,01/01/1983,Sarracenia oreophila,22715,SPECIES,LI, ,
29/07/1983,06/01/1989,Agave parviflora,23356,SPECIES,AT, ,
29/07/1983,06/01/1989,Fouquieria purpusii,23450,SPECIES,AT, ,
29/07/1983,06/01/1989,Pediocactus knowltonii,23835,SPECIES,AT, ,
28/06/1979,12/06/2014,Renanthera imschootiana,24119,SPECIES,CH, ,
29/07/1983,06/01/1989,Mammillaria plumosa,24516,SPECIES,AT, ,
06/06/1981,01/01/1983,Ariocarpus agavoides,25138,SPECIES,CH, ,
06/06/1981,01/01/1983,Ariocarpus agavoides,25138,SPECIES,LI, ,
29/07/1983,06/01/1989,Sclerocactus pubispinus,25178,SPECIES,AT, ,
29/07/1983,06/01/1989,Sclerocactus erectocentrus,25351,SPECIES,AT, ,
29/07/1983,06/01/1989,Mammillaria pectinifera,25367,SPECIES,AT," Originally listed as Mammillaria solisioides and Mammillaria pectinifera, which were lumped into Mammillaria pectinifera in 2017, following taxonomic changes adopted at CoP17.",
06/06/1981,01/01/1983,Aztekium ritteri,25895,SPECIES,CH, ,
06/06/1981,01/01/1983,Aztekium ritteri,25895,SPECIES,LI, ,
28/06/1979,01/01/1983,Araucaria araucana,25968,SPECIES,CH, ,
29/07/1983,06/01/1989,Leuchtenbergia principis,25969,SPECIES,AT, ,
06/06/1981,01/01/1983,Nepenthes rajah,26024,SPECIES,CH, ,
29/07/1983,06/01/1989,Disocactus macdougallii,26263,SPECIES,AT, ,
11/06/1992,12/06/2014,Melocactus deinacanthus,26732,SPECIES,CH, ,
11/06/1992,12/06/2014,Melocactus deinacanthus,26732,SPECIES,LI, ,
29/07/1983,06/01/1989,Pediocactus bradyi,26931,SPECIES,AT, ,
29/07/1983,06/01/1989,Escobaria minima,27568,SPECIES,AT, ,
29/07/1983,06/01/1989,Sclerocactus mesae-verdae,27661,SPECIES,AT, ,
06/06/1981,01/01/1983,Obregonia denegrii,27815,SPECIES,CH, ,
06/06/1981,01/01/1983,Obregonia denegrii,27815,SPECIES,LI, ,
29/07/1983,06/01/1989,Turbinicarpus schmiedickeanus,27816,SPECIES,AT, ,
22/10/1987,01/12/2004,Fitzroya cupressoides,27947,SPECIES,CL,Reservation applicable only to coastal population of CL. ,
01/08/1985,06/01/1989,Saussurea costus,28010,SPECIES,AT, ,
06/06/1981,01/01/1983,Ariocarpus scaphirostris,28657,SPECIES,CH, ,
06/06/1981,01/01/1983,Ariocarpus scaphirostris,28657,SPECIES,LI, ,
29/07/1983,06/01/1989,Turbinicarpus valdezianus,28936,SPECIES,AT, ,
29/07/1983,06/01/1989,Agave arizonica,29060,SPECIES,AT, ,
29/07/1983,06/01/1989,Sclerocactus papyracanthus,29522,SPECIES,AT, ,
06/06/1981,01/01/1983,Sarracenia rubra alabamensis,29612,SUBSPECIES,CH, ,
06/06/1981,01/01/1983,Sarracenia rubra alabamensis,29612,SUBSPECIES,LI, ,
06/06/1981,01/01/1983,Echinocereus ferreirianus lindsayi,29621,SUBSPECIES,CH, ,
06/06/1981,01/01/1983,Echinocereus ferreirianus lindsayi,29621,SUBSPECIES,LI, ,
06/06/1981,01/01/1983,Sarracenia rubra jonesii,29622,SUBSPECIES,CH, ,
06/06/1981,01/01/1983,Sarracenia rubra jonesii,29622,SUBSPECIES,LI, ,
29/07/1983,06/01/1989,Sclerocactus brevispinus,44177,SPECIES,AT," Originally listed as Sclerocactus glaucus, from which Sclerocactus brevispinus was split in 2017, following taxonomic changes adopted at CoP17.",
29/07/1983,06/01/1989,Ariocarpus trigonus,45112,SPECIES,AT," Originally listed as Ariocarpus retusus trigonus, which became a synonym of Ariocarpus trigonus in 2017, following taxonomic changes adopted at CoP17.",
29/07/1983,06/01/1989,Sclerocactus wetlandicus,50438,SPECIES,AT," Originally listed as Sclerocactus glaucus, from which Sclerocactus wetlandicus was split in 2017, following taxonomic changes adopted at CoP17.",
26/11/2019,02/12/2020,Cuora bourreti,65766,SPECIES,CA,,
26/11/2019,02/12/2020,Cuora picturata,65767,SPECIES,CA,,
28/06/1979,29/10/1982,Neophocaena asiaeorientalis,68342,SPECIES,CA," Originally listed as Neophocaena phocaenoides, from which Neophocaena asiaeorientalis was split in 2017, following taxonomic changes adopted at CoP17.",
31/10/1976,03/07/1978,Chelonoidis niger,68363,SPECIES,GB,"On behalf of Hong Kong. Originally listed as Chelonoidis nigra, which became a synonym of Chelonoidis niger in 2017, following taxonomic changes adopted at CoP17. Originally listed as Chelonoidis nigra, which became a synonym of Chelonoidis niger in 2017, following taxonomic changes adopted at CoP17.",
26/11/2019,02/12/2020,Ceratophora erdeleni,98193,SPECIES,CA,,
26/11/2019,02/12/2020,Ceratophora karu,98194,SPECIES,CA,,
26/11/2019,02/12/2020,Ceratophora tennentii,98196,SPECIES,CA,,
26/11/2019,02/12/2020,Cophotis ceylanica,98198,SPECIES,CA,,
26/11/2019,02/12/2020,Cophotis dumbara,98199,SPECIES,CA,,
26/11/2019,02/12/2020,Achillides chikae hermeli,98270,SUBSPECIES,CA,,
26/11/2019,02/12/2020,Parides burchellanus,98271,SPECIES,CA,,
26/11/2019,02/12/2020,Gonatodes daudini,98331,SPECIES,CA,,
09/07/1975,15/04/1977,Bison bison athabascae,12178,SUBSPECIES,CA, ,
29/07/1983,06/01/1989,Moschus,1558,GENUS,AT, ,
29/07/1983,06/01/1989,Moschus moschiferus moschiferus,12233,SUBSPECIES,AT, ,
04/11/1980,29/07/1983,Moschus moschiferus moschiferus,12233,SUBSPECIES,JP, ,End date given as date of downlisting to App II
01/08/1985,06/01/1989,Muntiacus crinifrons,8941,SPECIES,AT, ,
29/07/1983,06/01/1989,Oryx dammah,11205,SPECIES,AT, ,
28/06/1979,27/10/1998,Pantholops hodgsonii,8117,SPECIES,CH, ,
