Legacy_ID,Designation,LnmShortDesc,Date valid from,Event Type,Basis for Suspension,LnmLongDesc,LnmURL
1,CITES,CITES Notif. No. 283,15/03/1984,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 283,http://www.cites.org/common/notif/1984/283.pdf
2,CITES,CITES Notif. No. 629,08/04/1991,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 629,http://www.cites.org/common/notif/1991/629.pdf
3,CITES,CITES Notif. No. 662,16/01/1992,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 662,http://www.cites.org/common/notif/1992/662.pdf
4,CITES,CITES Notif. No. 681,24/08/1992,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 681,http://www.cites.org/eng/notif/1992/681.shtml
5,CITES,CITES Notif. No. 707,21/12/1992,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 707,http://www.cites.org/eng/notif/1992/707.shtml
6,CITES,CITES Notif. No. 1999/39,31/05/1999,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 1999/39,http://www.cites.org/eng/notif/1999/039.shtml
7,CITES,CITES Notif. No. 2001/052,10/08/2001,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 2001/052,http://www.cites.org/eng/notif/2001/052.shtml
8,CITES,CITES Notif. No. 2004/025,30/04/2004,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 2004/025,http://www.cites.org/eng/notif/2004/025.pdf
9,CITES,CITES Notif. No. 2004/055,30/07/2004,CITES Suspension Notification,CITES - National legislation,CITES Notif. No. 2004/055,http://www.cites.org/eng/notif/2004/055.pdf
10,CITES,CITES Notif. No. 2005/054,19/09/2005,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 2005/054,http://www.cites.org/eng/notif/2005/054.pdf
11,CITES,CITES Notif. No. 2006/006,16/01/2006,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 2006/006,http://www.cites.org/eng/notif/2006/006.pdf
12,CITES,CITES Notif. No. 2006/074,14/12/2006,CITES Suspension Notification,CITES - Annual reports,CITES Notif. No. 2006/074,http://www.cites.org/eng/notif/2006/E074.pdf
13,CITES,CITES Notif. No. 2010/015,17/06/2010,CITES Suspension Notification,CITES - Monitoring of ranching operations,CITES Notif. No. 2010/015,http://www.cites.org/eng/notif/2010/E015.pdf
14,CITES,CITES Notif. No. 2010/038,29/11/2010,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 2010/038,http://www.cites.org/eng/notif/2010/E038.pdf
15,CITES,CITES Notif. No. 2011/009,19/01/2011,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 2011/009,http://www.cites.org/eng/notif/2011/E009.pdf
16,CITES,CITES Notif. No. 2011/010,19/01/2011,CITES Suspension Notification,CITES - National legislation,CITES Notif. No. 2011/010,http://www.cites.org/eng/notif/2011/E010.pdf
17,CITES,CITES Notif. No. 2012/059,25/09/2012,CITES Suspension Notification,CITES - Significant trade,CITES Notif. No. 2012/059,http://www.cites.org/eng/notif/2012/E059.pdf
18,CITES,CITES Notif. No. 2013/013,02/05/2013,CITES Suspension Notification,CITES - Significant trade,CITES Notif. No. 2013/013,http://www.cites.org/eng/notif/2013/E-Notif-2013-013.pdf
19,CITES,CITES Notif. No. 2013/017,16/05/2013,CITES Suspension Notification,CITES - Compliance and enforcement,CITES Notif. No. 2013/017,http://www.cites.org/eng/notif/2013/E-Notif-2013-017.pdf
20,CITES,CITES Notif. No. 2013/018,17/05/2013,CITES Suspension Notification,CITES - Annual reports,CITES Notif. No. 2013/018,http://www.cites.org/eng/notif/2013/E-Notif-2013-018.pdf
21,CITES,CITES Notif. No. 2013/019,17/05/2013,CITES Suspension Notification,CITES - Annual reports,CITES Notif. No. 2013/019,http://www.cites.org/eng/notif/2013/E-Notif-2013-019.pdf
22,CITES,CITES Notif. No. 2013/020,17/05/2013,CITES Suspension Notification,CITES - Annual reports,CITES Notif. No. 2013/020,http://www.cites.org/eng/notif/2013/E-Notif-2013-020.pdf
23,CITES,Pre-CoP1,,CITES CoP,,,
24,CITES,CoP1,,CITES CoP,,,
25,CITES,CoP2,,CITES CoP,,,
26,CITES,CoP3,,CITES CoP,,,
27,CITES,CoP4,,CITES CoP,,,
28,CITES,CoP5,,CITES CoP,,,
29,CITES,CoP6,,CITES CoP,,,
30,CITES,CoP7,,CITES CoP,,,
31,CITES,CoP8,,CITES CoP,,,
32,CITES,CoP9,,CITES CoP,,,
33,CITES,CoP10,,CITES CoP,,,
34,CITES,CoP11,,CITES CoP,,,
35,CITES,CoP12,,CITES CoP,,,
36,CITES,CoP13,,CITES CoP,,,
37,CITES,CoP14,,CITES CoP,,,
38,CITES,CoP15,,CITES CoP,,,
39,CITES,CoP16,,CITES CoP,,,
2,EU,No 3626/82,31/12/1982,Basic and amendments,,Council Regulation (EEC) No 3626/82 of 3 December 1982,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:31982R3626:EN:HTML
8,EU,No 338/97,01/06/1997,Basic and amendments,,Council Reg. (EC) No 338/97 of 9 December 1996 ,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CONSLEG:1997R0338:20080411:EN:PDF
29,EU,No 2724/2000,18/12/2000,Basic and amendments,,Commission Reg. (EC) No 2724/2000 of 30 November 2000,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2000:320:0001:0060:EN:PDF
31,EU,No 2087/2001,29/10/2001,Suspension,,Commission Reg. (EC) No 2087/2001 of 24 October 2001,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2001:282:0023:0038:EN:PDF
32,EU,No 1579/2001,05/08/2001,Basic and amendments,,Commission Reg. (EC) No 1579/2001 of 1 August 2001,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2001:209:0014:0015:EN:PDF
33,EU,No 191/2001,03/02/2001,Suspension,,Commission Reg. (EC) No 191/2001 of 30 January 2001,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2001:029:0012:0026:EN:PDF
34,EU,No 1988/2000,24/09/2000,Suspension,,Commission Reg. (EC) No 1988/2000 of 20 September 2001,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2000:237:0025:0038:EN:PDF
35,EU,No 2476/2001,21/12/2001,Basic and amendments,,Commission Reg. (EC) No 2476/2001 of 17 December 2001,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2001:334:0003:0004:EN:PDF
46,EU,No 2214/98,19/10/1998,Basic and amendments,,Commission Reg. (EC) No 2214/98 of 15 October 1998,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1998:279:0003:0003:EN:PDF
47,EU,No 1476/1999,29/04/1999,Basic and amendments,,Commission Reg. (EC) No 1476/1999 of 6 July 1999,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1999:171:0005:0005:EN:PDF
50,EU,No 605/2006,10/05/2006,Suspension,,Commission Reg. (EC) No 605/2006 of 19 April 2006 ,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2006:107:0003:0022:EN:PDF
63,EU,No 1037/2007,01/10/2007,Suspension,,Commission Reg. (EC) No 1037/2007 of 29 August 2007 ,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2007:238:0003:0022:EN:PDF
67,EU,No 359/2009,21/05/2009,Suspension,,Commission Reg. (EC) No 359/2009 of 30 April 2009,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2009:110:0003:0026:EN:PDF
81,EU,No 997/2010,26/11/2010,Suspension,,Commission Reg. (EC) No 997/2010 of 5 Nov 2010,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2010:290:0001:0021:EN:PDF
82,EU,No 1497/2003,30/08/2003,Basic and amendments,,Commission Reg. (EC) No 1497/2003 of 18 August 2003,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:215:0003:0084:EN:PDF
83,EU,No 938/97,01/06/1997,Basic and amendments,,Commission Reg. (EC) No 938/97 of 26 May 1997,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1997:140:0001:0008:EN:PDF
84,EU,No 1968/1999,19/09/1999,Suspension,,Commission Reg. (EC) No 1968/1999 of 10 September 1999,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1999:244:0022:0037:EN:PDF
85,EU,No 250/1999,06/02/1999,Suspension,,Commission Reg. (EC) No 250/1999 of 2 February 1999,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1999:029:0005:0008:EN:PDF
86,EU,No 2473/1998,21/11/1998,Suspension,,Commission Reg. (EC) No 2473/1998 of 16 November 1998,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1998:308:0018:0032:EN:PDF
87,EU,No 2551/97,22/12/1997,Suspension,,Commission Reg. (EC) No 2551/97 of 15 December 1997,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1997:349:0004:0017:EN:PDF
88,EU,No 349/2003,01/03/2003,Suspension,,Commission Reg. (EC) No 349/2003 of 25 February 2003,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:051:0003:0018:EN:PDF
89,EU,No 1808/2001,22/09/2001,Basic and amendments,,Commission Reg. (EC) No 1808/2001 of 30 August 2001,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2001:250:0001:0043:EN:PDF
90,EU,No 834/2004,20/05/2004,Basic and amendments,,Commission Reg. (EC) No 834/2004 of 28 April 2004,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2004:127:0040:0042:EN:PDF
91,EU,No 776/2004,30/04/2004,Suspension,,Commission Reg. (EC) No 776/2004 of 26 April 2004,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2004:123:0031:0049:EN:PDF
92,EU,No 252/2005,18/02/2005,Suspension,,Commission Reg. (EC) No 252/2005 of 14 February 2005,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2005:043:0003:0021:EN:PDF
98,EU,No 1332/2005,22/08/2005,Basic and amendments,,Commission Reg. (EC) No 1332/2005 of 9 August 2005,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2005:215:0001:0060:EN:PDF
99,EU,No 2307/97,27/11/1997,Basic and amendments,,Commission Reg. (EC) No 2307/97 of 18 November 1997,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1997:325:0001:0052:EN:PDF
100,EU,No 318/2008,11/04/2008,Basic and amendments,,Commission Reg. (EC) No 318/2008 of 31 March 2008,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2008:095:0003:0062:EN:PDF
101,EU,No 811/2008,03/09/2008,Suspension,,Commission Reg. (EC) No 811/2008 of 13 August 2008,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2008:219:0017:0039:EN:PDF
103,EU,No 757/2012,10/09/2012,Suspension,,Commission Reg. (EC) No 757/2012 of 20 August 2012,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2012:223:0031:0050:EN:PDF
124,EU,No 828/2011,07/09/2011,Suspension,,Commission Reg. (EC) No 828/2011 of 17 August 2011,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2011:211:0011:0032:EN:PDF
137,EU,No 407/2009,22/05/2009,Basic and amendments,,Commission Reg. (EC) No 407/2009 of 14 May 2009,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2009:123:0003:0061:EN:PDF
138,EU,No 709/2010,15/08/2010,Basic and amendments,,Commission Reg. (EC) No 709/2010 of 22 July 2010,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2010:212:0001:0059:EN:PDF
139,EU,No 101/2012,14/02/2012,Basic and amendments,,Commission Reg. (EC) No 101/2012 of 6 February 2012,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2012:039:0133:0200:EN:PDF
140,EU,No 1158/2012,15/12/2012,Basic and amendments,,Commission Reg. (EC) No 1158/2012 of 27 November 2012,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2012:339:FULL:EN:PDF
141,EU,No 578/2013,11/07/2013,Suspension,,Commission Reg. (EU) No 578/2013 of 17 June 2013,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2013:169:0001:0021:EN:PDF
142,EU,No 750/2013,10/08/2013,Basic and amendments,,Commission Reg. (EU) No 750/2013 of 29 July 2013,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2013:212:0001:0092:EN:PDF
